date,datetime,temperature,humidity,precipitation,conditions
2025-02-08,00:00:00,-1.0,74.27,0.0,Partially cloudy
2025-02-08,01:00:00,-2.0,79.93,0.0,Partially cloudy
2025-02-08,02:00:00,-2.0,79.93,0.0,Partially cloudy
2025-02-08,03:00:00,-2.0,79.93,0.0,Overcast
2025-02-08,04:00:00,-2.0,79.93,0.0,Overcast
2025-02-08,05:00:00,-3.0,86.07,0.0,Overcast
2025-02-08,06:00:00,-2.0,74.08,0.0,Partially cloudy
2025-02-08,07:00:00,-3.0,79.78,0.0,Partially cloudy
2025-02-08,08:00:00,-2.9,75.06,0.0,Partially cloudy
2025-02-08,09:00:00,-1.3,68.25,0.0,Clear
2025-02-08,10:00:00,1.0,60.45,0.0,Partially cloudy
2025-02-08,11:00:00,3.0,56.97,0.0,Partially cloudy
2025-02-08,12:00:00,4.3,53.17,0.0,Partially cloudy
2025-02-08,13:00:00,5.1,49.91,0.0,Partially cloudy
2025-02-08,14:00:00,5.4,49.25,0.0,Partially cloudy
2025-02-08,15:00:00,5.2,51.07,0.0,Overcast
2025-02-08,16:00:00,4.3,56.88,0.0,Overcast
2025-02-08,17:00:00,2.6,66.56,0.0,Overcast
2025-02-08,18:00:00,1.5,70.41,0.0,Overcast
2025-02-08,19:00:00,0.9,72.42,0.0,Overcast
2025-02-08,20:00:00,0.6,74.0,0.0,Overcast
2025-02-08,21:00:00,0.4,74.52,0.0,Overcast
2025-02-08,22:00:00,0.2,75.05,0.0,Overcast
2025-02-08,23:00:00,-0.2,75.54,0.0,Partially cloudy
2025-02-09,00:00:00,-0.9,77.14,0.0,Partially cloudy
2025-02-09,01:00:00,-1.4,77.06,0.0,Clear
2025-02-09,02:00:00,-1.7,76.42,0.0,Partially cloudy
2025-02-09,03:00:00,-2.0,75.79,0.0,Partially cloudy
2025-02-09,04:00:00,-2.4,76.3,0.0,Partially cloudy
2025-02-09,05:00:00,-2.6,75.69,0.0,Overcast
2025-02-09,06:00:00,-2.8,76.23,0.0,Partially cloudy
2025-02-09,07:00:00,-2.9,76.22,0.0,Overcast
2025-02-09,08:00:00,-2.8,78.0,0.0,Partially cloudy
2025-02-09,09:00:00,-1.2,74.23,0.0,Partially cloudy
2025-02-09,10:00:00,0.8,63.22,0.0,Overcast
2025-02-09,11:00:00,2.5,57.27,0.0,Overcast
2025-02-09,12:00:00,3.8,56.33,0.0,Overcast
2025-02-09,13:00:00,4.8,52.12,0.0,Overcast
2025-02-09,14:00:00,5.2,53.82,0.0,Partially cloudy
2025-02-09,15:00:00,5.3,55.48,0.0,Partially cloudy
2025-02-09,16:00:00,4.7,60.47,0.0,Overcast
2025-02-09,17:00:00,3.2,67.69,0.0,Overcast
2025-02-09,18:00:00,1.7,74.76,0.0,Overcast
2025-02-09,19:00:00,0.9,79.17,0.0,Partially cloudy
2025-02-09,20:00:00,0.3,80.86,0.0,Partially cloudy
2025-02-09,21:00:00,-0.2,82.0,0.0,Partially cloudy
2025-02-09,22:00:00,-0.7,81.33,0.0,Partially cloudy
2025-02-09,23:00:00,-1.1,78.87,0.0,Partially cloudy
2025-02-10,00:00:00,-1.5,78.21,0.0,Overcast
2025-02-10,01:00:00,-1.8,76.99,0.0,Overcast
2025-02-10,02:00:00,-2.2,75.76,0.0,Overcast
2025-02-10,03:00:00,-2.6,75.11,0.0,Partially cloudy
2025-02-10,04:00:00,-3.2,76.75,0.0,Partially cloudy
2025-02-10,05:00:00,-3.7,79.67,0.0,Clear
2025-02-10,06:00:00,-4.3,85.93,0.0,Clear
2025-02-10,07:00:00,-5.2,97.01,0.0,Partially cloudy
2025-02-10,08:00:00,-6.0,100.0,0.0,Overcast
2025-02-10,09:00:00,-5.2,99.24,0.0,Overcast
2025-02-10,10:00:00,-2.4,89.43,0.0,Partially cloudy
2025-02-10,11:00:00,0.9,78.59,0.0,Clear
2025-02-10,12:00:00,2.8,71.19,0.0,Clear
2025-02-10,13:00:00,4.2,62.63,0.0,Clear
2025-02-10,14:00:00,4.8,60.95,0.0,Clear
2025-02-10,15:00:00,4.9,58.76,0.0,Clear
2025-02-10,16:00:00,4.3,65.48,0.0,Clear
2025-02-10,17:00:00,3.3,67.22,0.0,Clear
2025-02-10,18:00:00,2.4,70.07,0.0,Clear
2025-02-10,19:00:00,1.5,74.17,0.0,Clear
2025-02-10,20:00:00,0.0,81.42,0.0,Clear
2025-02-10,21:00:00,-0.9,83.14,0.0,Clear
2025-02-10,22:00:00,-1.3,79.43,0.0,Clear
2025-02-10,23:00:00,-1.6,74.16,0.0,Clear
2025-02-11,00:00:00,-1.9,72.98,0.0,Clear
2025-02-11,01:00:00,-2.3,74.03,0.0,Clear
2025-02-11,02:00:00,-2.7,76.45,0.0,Partially cloudy
2025-02-11,03:00:00,-3.1,78.96,0.0,Partially cloudy
2025-02-11,04:00:00,-3.4,81.56,0.0,Partially cloudy
2025-02-11,05:00:00,-3.8,83.83,0.0,Partially cloudy
2025-02-11,06:00:00,-4.1,86.17,0.0,Partially cloudy
2025-02-11,07:00:00,-4.4,88.58,0.0,Clear
2025-02-11,08:00:00,-2.9,83.09,0.0,Clear
2025-02-11,09:00:00,-1.4,78.03,0.0,Clear
2025-02-11,10:00:00,0.1,73.36,0.0,Clear
2025-02-11,11:00:00,1.4,67.98,0.0,Partially cloudy
2025-02-11,12:00:00,2.7,63.06,0.0,Partially cloudy
2025-02-11,13:00:00,4.1,58.55,0.0,Partially cloudy
2025-02-11,14:00:00,3.9,60.9,0.0,Partially cloudy
2025-02-11,15:00:00,3.9,63.33,0.0,Partially cloudy
2025-02-11,16:00:00,3.8,65.85,0.0,Clear
2025-02-11,17:00:00,2.6,69.25,0.0,Clear
2025-02-11,18:00:00,1.4,72.88,0.0,Clear
2025-02-11,19:00:00,0.2,76.75,0.0,Clear
2025-02-11,20:00:00,-0.3,73.85,0.0,Clear
2025-02-11,21:00:00,-0.7,71.03,0.0,Clear
2025-02-11,22:00:00,-1.1,68.29,0.0,Clear
2025-02-11,23:00:00,-1.6,68.54,0.0,Clear
2025-02-12,00:00:00,-2.0,68.8,0.0,Clear
2025-02-12,01:00:00,-2.4,69.06,0.0,Clear
2025-02-12,02:00:00,-2.6,68.85,0.0,Clear
2025-02-12,03:00:00,-2.8,68.64,0.0,Clear
2025-02-12,04:00:00,-2.9,68.42,0.0,Clear
2025-02-12,05:00:00,-3.0,68.41,0.0,Clear
2025-02-12,06:00:00,-3.1,68.39,0.0,Clear
2025-02-12,07:00:00,-3.1,68.38,0.0,Clear
2025-02-12,08:00:00,-1.2,60.67,0.0,Clear
2025-02-12,09:00:00,0.7,53.94,0.0,Clear
2025-02-12,10:00:00,2.6,48.06,0.0,Clear
2025-02-12,11:00:00,3.9,44.32,0.0,Clear
2025-02-12,12:00:00,5.3,40.91,0.0,Clear
2025-02-12,13:00:00,6.7,37.8,0.0,Clear
2025-02-12,14:00:00,6.3,40.06,0.0,Clear
2025-02-12,15:00:00,5.9,42.46,0.0,Clear
2025-02-12,16:00:00,5.5,45.0,0.0,Clear
2025-02-12,17:00:00,2.5,47.67,0.0,Clear
2025-02-12,18:00:00,1.3,53.15,0.0,Clear
2025-02-12,19:00:00,0.4,56.71,0.0,Clear
2025-02-12,20:00:00,0.0,57.48,0.0,Clear
2025-02-12,21:00:00,-0.3,57.85,0.0,Clear
2025-02-12,22:00:00,-0.6,58.67,0.0,Clear
2025-02-12,23:00:00,-0.9,59.97,0.0,Clear
2025-02-13,00:00:00,-1.0,59.94,0.0,Clear
2025-02-13,01:00:00,-1.2,60.36,0.0,Clear
2025-02-13,02:00:00,-1.4,60.48,0.0,Partially cloudy
2025-02-13,03:00:00,-1.5,60.6,0.0,Partially cloudy
2025-02-13,04:00:00,-1.6,60.72,0.0,Overcast
2025-02-13,05:00:00,-1.7,62.13,0.0,Overcast
2025-02-13,06:00:00,-1.8,63.57,0.0,Overcast
2025-02-13,07:00:00,-1.9,65.04,0.0,Overcast
2025-02-13,08:00:00,-0.5,59.01,0.0,Overcast
2025-02-13,09:00:00,0.9,53.6,0.0,Overcast
2025-02-13,10:00:00,2.4,48.75,0.0,Overcast
2025-02-13,11:00:00,3.4,45.18,0.0,Overcast
2025-02-13,12:00:00,4.4,41.9,0.0,Overcast
2025-02-13,13:00:00,5.4,38.88,0.0,Overcast
2025-02-13,14:00:00,5.0,41.44,0.0,Overcast
2025-02-13,15:00:00,4.6,44.17,0.0,Overcast
2025-02-13,16:00:00,4.2,47.07,0.0,Overcast
2025-02-13,17:00:00,3.5,49.08,0.0,Overcast
2025-02-13,18:00:00,2.8,51.19,0.0,Overcast
