Timestamp;NatGasCompsumption
2024. 1. 1. 12:00;6126,8
2024. 1. 2. 0:00;6678
2024. 1. 2. 12:00;6731
2024. 1. 3. 0:00;5830
2024. 1. 3. 12:00;5204,6
2024. 1. 4. 0:00;4865,4
2024. 1. 4. 12:00;4197,6
2024. 1. 5. 0:00;4844,2
2024. 1. 5. 12:00;5437,8
2024. 1. 6. 0:00;3667,6
2024. 1. 6. 12:00;4282,4
2024. 1. 7. 0:00;3816
2024. 1. 7. 12:00;4568,6
2024. 1. 8. 0:00;5215,2
2024. 1. 8. 12:00;8003
2024. 1. 9. 0:00;8882,8
2024. 1. 9. 12:00;8687
2024. 1. 10. 0:00;8687
2024. 1. 10. 12:00;8490,6
2024. 1. 11. 0:00;7886,4
2024. 1. 11. 12:00;7695,6
2024. 1. 12. 0:00;7928,8
2024. 1. 12. 12:00;7176,2
2024. 1. 13. 0:00;6921,8
2024. 1. 13. 12:00;5978,4
2024. 1. 14. 0:00;5893,6
2024. 1. 14. 12:00;6105,6
2024. 1. 15. 0:00;5130,4
2024. 1. 15. 12:00;6063,2
2024. 1. 16. 0:00;6423,6
2024. 1. 16. 12:00;6455,4
2024. 1. 17. 0:00;6508,4
2024. 1. 17. 12:00;6953,6
2024. 1. 18. 0:00;6529,6
2024. 1. 18. 12:00;5331,8
2024. 1. 19. 0:00;4642,8
2024. 1. 19. 12:00;4982
2024. 1. 20. 0:00;6784
2024. 1. 20. 12:00;5406
2024. 1. 21. 0:00;5045,6
2024. 1. 21. 12:00;6381,2
2024. 1. 22. 0:00;4356,6
2024. 1. 22. 12:00;7356,4
2024. 1. 23. 0:00;7473
2024. 1. 23. 12:00;6773,4
2024. 1. 24. 0:00;6932,4
2024. 1. 24. 12:00;7070,2
2024. 1. 25. 0:00;7144,4
2024. 1. 25. 12:00;5904,2
2024. 1. 26. 0:00;5702,8
2024. 1. 26. 12:00;5236,4
2024. 1. 27. 0:00;4886,6
2024. 1. 27. 12:00;5077,4
2024. 1. 28. 0:00;4197,6
2024. 1. 28. 12:00;5395,4
2024. 1. 29. 0:00;5331,8
2024. 1. 29. 12:00;7155
2024. 1. 30. 0:00;5109,2
2024. 1. 30. 12:00;7981,8
2024. 1. 31. 0:00;6890
2024. 1. 31. 12:00;7759,2
2024. 2. 1. 0:00;6815,8
2024. 2. 1. 12:00;7155
2024. 2. 2. 0:00;7239,8
2024. 2. 2. 12:00;6636
2024. 2. 3. 0:00;6636
2024. 2. 3. 12:00;6031,4
2024. 2. 4. 0:00;4611
2024. 2. 4. 12:00;4907,8
2024. 2. 5. 0:00;3317,8
2024. 2. 5. 12:00;4494,4
2024. 2. 6. 0:00;4876
2024. 2. 6. 12:00;3752,4
2024. 2. 7. 0:00;2883,2
2024. 2. 7. 12:00;4059,8
2024. 2. 8. 0:00;2872,6
2024. 2. 8. 12:00;3413,2
